,Unnamed: 0,recipe_url,title,nutriscore_letter,nutriscore_img_url,ecoscore_letter,ecoscore_img_url,rating,tags,comments,likes,share,total_time,nb_persons,difficulty,price,ingredients,preparation_time,cooking_time,steps,image_main_url
0,0,https://www.marmiton.org/recettes/recette_damier-de-pain-tricolore-et-saumon_346344.aspx,Damier de pain tricolore et saumon,c,https://static.afcdn.com/relmrtn/Front/Component/nutriscore/assets/nutriscore_c.jpeg,c,https://static.afcdn.com/relmrtn/Front/Component/nutriscore/assets/ecoscore_c.png,4.0,['Entrée'],2.0,216,14.0,20 min,2.0,facile,Coût moyen,"[['https://assets.afcdn.com/recipe/20170607/67639_w180h180c1cx350cy350.jpg', '1', 'pain', ' noir en tranches'], ['https://assets.afcdn.com/recipe/20170607/67639_w180h180c1cx350cy350.jpg', '1', 'pain', ' blanc en tranches (il faut que les pains fassent la même dimension)'], ['https://assets.afcdn.com/recipe/20201201/115998_w180h180c1cx912cy821.jpg', '', 'Beurre', "" aux herbes (beurre d'escargot)""], ['https://assets.afcdn.com/recipe/20170607/67460_w180h180c1cx350cy350.jpg', '2', 'feuilles de saumon fumé', ' '], ['https://assets.afcdn.com/recipe/20170619/68883_w180h180c1.jpg', '1', 'petit pot de crème fraîche épaisse', ' '], ['https://assets.afcdn.com/recipe/20170607/67431_w180h180c1cx350cy350.jpg', '1', ""petit bouquet d'aneth"", ' '], ['https://assets.afcdn.com/recipe/20170607/67687_w180h180c1cx350cy350.jpg', '', 'Sel', ' '], ['https://assets.afcdn.com/recipe/20170607/67563_w180h180c1cx350cy350.jpg', '', 'Poivre', ' ']]",20 min,,"['Retirer les croûtes du pain, beurrer le pain blanc puis alterner les tranches beurrées en finissant par le pain noir.', ""Mettre au réfrigérateur pour faire figer le beurre puis découper de fines tranches d'1 cm."", ""Les empiler en mettant du beurre d'herbes entre les deux. Remettre au frais pour faire figer."", ""Recouper des tranches d'1 cm pour obtenir des damiers..."", ""Mettre un peu de crème et une volute de saumon sur chaque toast obtenu. Ajouter une pluche d'aneth et poivrer.""]",https://assets.afcdn.com/recipe/20161115/33909_w79h79c1.jpg
1,1,https://www.marmiton.org/recettes/recette_buche-salee-roquefort-et-truite-fumee_346028.aspx,Bûche salée roquefort et truite fumée,d,https://static.afcdn.com/relmrtn/Front/Component/nutriscore/assets/nutriscore_d.jpeg,d,https://static.afcdn.com/relmrtn/Front/Component/nutriscore/assets/ecoscore_d.png,4.0,"['Entrée', ""Noël / Peau d'Ane""]",4.0,2.4k,50.0,20 min,6.0,facile,bon marché,"[['https://assets.afcdn.com/recipe/20170607/67606_w180h180c1cx350cy350.jpg', '1', 'cuillère à soupe de concentré de tomates', ' '], ['https://assets.afcdn.com/recipe/20170607/67682_w180h180c1cx350cy350.jpg', '15', 'g de farine', ' '], ['https://assets.afcdn.com/recipe/20170607/67578_w180h180c1cx350cy350.jpg', '25', 'g de maïzena', ' '], ['https://assets.afcdn.com/recipe/20170607/67500_w180h180c1cx350cy350.jpg', '50', 'g de gruyère râpé', ' '], ['https://assets.afcdn.com/recipe/20170607/67505_w180h180c1cx350cy350.jpg', '3', 'oeufs', ' '], ['https://assets.afcdn.com/recipe/20170607/67449_w180h180c1cx350cy350.jpg', '1', 'petit suisse', ' nature'], ['https://assets.afcdn.com/recipe/20201201/115998_w180h180c1cx912cy821.jpg', '80', 'g de beurre', ' '], ['https://assets.afcdn.com/recipe/20170607/67565_w180h180c1cx350cy350.jpg', '1/2', 'sachet de levure', ' '], ['https://assets.afcdn.com/recipe/20170607/67557_w180h180c1cx350cy350.jpg', '1', 'cuillère à café de paprika', ' '], ['https://assets.afcdn.com/recipe/20170607/67558_w180h180c1cx350cy350.jpg', '200', 'g de roquefort', ' '], ['https://assets.afcdn.com/recipe/20170607/67764_w180h180c1cx350cy350.jpg', '60', 'g de noix', ' '], ['https://assets.afcdn.com/recipe/20170607/67556_w180h180c1cx350cy350.jpg', '6', 'tranches de truite', ' fumée']]",20 min,15 min,"['Préparation de la génoise.', 'Préchauffer le four à 200°C (thermostat 6/7).', ""Séparer les blancs des jaunes d'oeufs."", 'Dans un saladier, monter les blancs en neige avec une pincée de sel.', 'Battre les jaunes, ajouter la farine, la maïzena, la levure, le beurre, le paprika, le concentré de tomates et le gruyère. Mélanger et incorporer délicatement les blancs en neige.', 'Étaler la préparation sur une plaque de four préalablement recouverte de papier cuisson et enfourner 10 minutes.', 'Mélanger le fromage de chèvre avec le petit suisse. Ajouter la ciboulette ciselée et poivrer.', 'Une fois cuit, couvrir le biscuit avec un torchon, réserver et laisser tiédir.', 'Montage de la bûche.', ""Couper la génoise à l'aide d'un emporte-pièce rectangle (portion individuelle)."", ""Tartiner la génoise de roquefort, parsemer d'éclats de noix, déposer des lamelles de truites fumées."", ""Déposer un second rectangle de génoise, du roquefort, des éclats de noix, de la truite et terminer par un morceau de génoise tartiner de roquefort et parsemer d'éclat de noix.""]",https://assets.afcdn.com/recipe/20161021/4416_w79h79c1.jpg
2,2,https://www.marmiton.org/recettes/recette_pain-a-partager-fromage-et-lardons_344787.aspx,Pain à partager fromage et lardons,d,https://static.afcdn.com/relmrtn/Front/Component/nutriscore/assets/nutriscore_d.jpeg,c,https://static.afcdn.com/relmrtn/Front/Component/nutriscore/assets/ecoscore_c.png,4.1,['Amuse-gueule'],7.0,11k,49.0,20 min,6.0,très facile,bon marché,"[['https://assets.afcdn.com/recipe/20170607/67639_w180h180c1cx350cy350.jpg', '1', 'pain', ' non tranchée'], ['https://assets.afcdn.com/recipe/20170607/67477_w180h180c1cx350cy350.jpg', '150', 'g de lardons fumés', ' '], ['https://assets.afcdn.com/recipe/20170607/67453_w180h180c1cx350cy350.jpg', '200', 'g de fromage', ' (type reblochon, raclette, maroiles, gouda)'], ['https://assets.afcdn.com/recipe/20170607/67695_w180h180c1cx350cy350.jpg', '1', 'botte de ciboulette', ' '], ['https://assets.afcdn.com/recipe/20170607/67514_w180h180c1cx350cy350.jpg', '1', ""gousse d'ail"", ' ']]",20 min,15 min,"['Préchauffer le four à 200°C (thermostat 7-8).', ""Au couteau, quadriller la miche de pain, en veillant bien à ne pas couper complètement (pour l'astuce, positionner des baguettes / cuillères en bois de chaque côté de la miche de pain pour être sur de ne pas trancher complètement le pain)."", 'Insérer des tranches de fromage dans le quadrillage du pain et ajouter les lardons encore cru.', ""Hacher finement l'ail et parsemer en écartant le quadrillage afin que l'ail pénètre bien dans le pain."", 'Ciseler la ciboulette et saupoudrer la miche de pain.', 'Placer la miche de pain dans un plat allant au four ou sur une plaque de cuisson recouverte de papier cuisson et enfourner 15 minutes.']",https://assets.afcdn.com/recipe/20160610/44727_w79h79c1.jpg
3,3,https://www.marmiton.org/recettes/recette_cassolettes-d-escargots-a-la-creme-d-ail_529233.aspx,Cassolettes d’escargots à la crème d'ail,,,,,0.0,"['Entrée', 'Entrée chaude']",0.0,0,0.0,35 min,6.0,facile,Coût moyen,"[['https://assets.afcdn.com/recipe/20201207/116155_w180h180c1cx959cy959.jpg', '36', 'Escargots Toque du Chef', ' '], ['https://assets.afcdn.com/recipe/20170607/67514_w180h180c1cx350cy350.jpg', '6', ""gousses d'ail"", ' '], ['https://assets.afcdn.com/recipe/20170607/67338_w180h180c1cx350cy350.jpg', '60', 'cl de crème liquide', ' entière'], ['https://assets.afcdn.com/recipe/20170607/67650_w180h180c1cx350cy350.jpg', '6', 'brins de persil', ' '], ['https://assets.afcdn.com/recipe/20170607/67472_w180h180c1cx350cy350.jpg', '1/2', 'baguette', ' '], ['https://assets.afcdn.com/recipe/20170607/67683_w180h180c1cx350cy350.jpg', '4', ""cuillères à soupe d'huile d'olive"", ' '], ['https://assets.afcdn.com/recipe/20170607/67557_w180h180c1cx350cy350.jpg', '3', 'pincées de paprika', ' '], ['https://assets.afcdn.com/recipe/20170607/67687_w180h180c1cx350cy350.jpg', '', 'Sel', ' fin'], ['https://assets.afcdn.com/recipe/20170607/67563_w180h180c1cx350cy350.jpg', '', 'Poivre', ' noir']]",35 min,,"['Coupez la demi baguette en tranches fines puis en dés. Dans une boîte hermétique, versez l’huile, 2 pincées de sel fin, une pincée de poivre et le paprika. Ajoutez les croûtons, fermez la boîte et secouez.', 'Préchauffez le four en position gril. Versez les croûtons sur une plaque recouverte de papier cuisson en les étalant bien. Enfournez 5 min en les retournant à mi-cuisson. Réservez.', 'Faites chauffer une casserole d’eau. À ébullition, versez-y les gousses d’ail épluchées. Laissez chauffer 1 min. Égouttez-les, changez l’eau et renouveler 2 fois l’opération.', 'Dans une autre casserole, faites bouillir la crème. Ajoutez l’ail blanchi, salez, poivrez, ajoutez le thym et laissez infuser 2 min. Mixez au mixeur plongeant. Maintenez la crème d’ail à feu doux.', 'Sortez les escargots de leurs coquilles et placez-les dans une poêle avec leur beurre d’ail. Faites-les sauter à feu moyen en les enrobant bien de beurre. Salez et poivrez.', 'Dans des soupières individuelles, répartissez la crème d’ail réchauffée, 6 escargots et décorez avec un brin de persil et quelques croûtons au paprika.']",https://assets.afcdn.com/recipe/20201123/115836_w512h384c1cx700cy325.png
4,4,https://www.marmiton.org/recettes/recette_bouchees-chocolat-noisette_343841.aspx,Bouchées chocolat noisette,c,https://static.afcdn.com/relmrtn/Front/Component/nutriscore/assets/nutriscore_c.jpeg,d,https://static.afcdn.com/relmrtn/Front/Component/nutriscore/assets/ecoscore_d.png,5.0,"['Dessert', 'Végétarien']",3.0,1.2k,11.0,30 min,24.0,facile,Coût moyen,"[['https://assets.afcdn.com/recipe/20170607/67520_w180h180c1cx350cy350.jpg', '400', 'g de nutella', ' '], ['https://assets.afcdn.com/recipe/20170607/67496_w180h180c1cx350cy350.jpg', '100', 'g de noisettes', ' concassées (pas de poudre)'], ['https://assets.afcdn.com/recipe/20170607/67496_w180h180c1cx350cy350.jpg', '24', 'noisettes', ' entières'], ['https://assets.afcdn.com/recipe/20170621/69015_w180h180c1.jpg', '8', 'crêpes dentelles', ' (type gavottes)'], ['https://assets.afcdn.com/recipe/20181227/85156_w180h180c1cx1200cy1200.png', '70', 'g de chocolat noir', ' '], ['https://assets.afcdn.com/recipe/20170607/67338_w180h180c1cx350cy350.jpg', '10', 'cl de crème liquide', ' ']]",30 min,,"['Ecraser grossièrement les biscuits crêpes dentelles. Mélanger dans un bol avec le Nutella.', 'Réserver la moitié du mélange obtenu pour plus tard.', 'Remplir les moules demi-sphères avec le mélange et lisser la surface avec une spatule. Déposer une noisette entière sur chaque demi-sphère et appuyer légèrement pour que la noisette s’enfonce dans le mélange au Nutella.', 'Réserver 2h au congélateur.', 'Sortir du congélateur et démouler les demi-sphères.', 'Nettoyer les moules et recommencer l’opération avec la seconde moitié du mélange Nutella / crêpes dentelles. Lisser la surface des demi-sphères. N’ajouter pas de noisettes.', 'Disposer une demi-sphère avec noisette sur chaque demi-sphère sans noisette. Réserver 2h au congélateur.', 'Faire fondre le chocolat noir au bain-marie. Ajouter la crème liquide, mélanger et laisser refroidir.', 'Verser les noisettes concassées dans un bol.', 'Sortir les bouchées du congélateur et les rouler une par une dans le mélange chocolat – crème puis dans les noisettes concassées.', 'Réserver au réfrigérateur pendant 1h.', 'Les bouchées sont prêtes.']",https://assets.afcdn.com/recipe/20160322/14974_w79h79c1.jpg
5,5,https://www.marmiton.org/recettes/recette_antipasti-a-la-tomate-et-cuillere-de-pate-feuiletee_345402.aspx,Antipasti à la tomate et cuillère de pâte feuilletée,d,https://static.afcdn.com/relmrtn/Front/Component/nutriscore/assets/nutriscore_d.jpeg,d,https://static.afcdn.com/relmrtn/Front/Component/nutriscore/assets/ecoscore_d.png,5.0,['Amuse-gueule'],3.0,3.2k,7.0,25 min,6.0,très facile,bon marché,"[['https://assets.afcdn.com/recipe/20170607/67524_w180h180c1cx350cy350.jpg', '200', 'g de tomate séchée', "" confites dans l'huile""], ['https://assets.afcdn.com/recipe/20170607/67514_w180h180c1cx350cy350.jpg', '3', ""gousses d'ail"", ' '], ['https://assets.afcdn.com/recipe/20170607/67650_w180h180c1cx350cy350.jpg', '', 'Persil', ' '], ['https://assets.afcdn.com/recipe/20170607/67729_w180h180c1cx350cy350.jpg', '', 'Orange', ' '], ['https://assets.afcdn.com/recipe/20170607/67541_w180h180c1cx350cy350.jpg', '5', ""filets d'anchois"", ' '], ['https://assets.afcdn.com/recipe/20170607/67470_w180h180c1cx350cy350.jpg', '50', 'g de câpres', ' '], ['https://assets.afcdn.com/recipe/20201222/116679_w180h180c1cx1200cy1200.png', '1', 'pâte feuilletée', ' '], ['https://assets.afcdn.com/recipe/20170607/67396_w180h180c1cx2027cy2027.jpg', '12', 'mozzarella', ' (ou fromage frais)'], ['https://assets.afcdn.com/recipe/20171128/75634_w180h180c1cx1250cy1250.jpg', '1', ""jaune d'oeuf"", ' '], ['https://assets.afcdn.com/recipe/20170607/67553_w180h180c1cx350cy350.jpg', '', 'feuille de basilic', ' ']]",25 min,15 min,"['Préchauffer le four à 180°C (thermostat 6).', 'Mélanger tous les ingrédients dans un mixer les uns après les autres pour obtenir une pâte à tartiner homogène.', 'Servir sur les toasts ou pains de votre choix en y ajoutant des copeaux de parmesan.', ""Dérouler la pâte feuilletée et y découper des cuillères en suivant les contours d'une vrai cuillère."", ""Disposer les cuillères en pâte sur une feuille de papier cuisson et badigeonner de jaune d'oeuf."", 'Enfourner pour 12 à 15 minutes.', ""Dressage : déposer une cuillère à café d'antipasti dans la cuillère de pâte feuilletée, ajouter une bille de mozzarella, une feuille de basilic et le tour est joué""]",https://assets.afcdn.com/recipe/20160805/30159_w79h79c1.jpg
6,6,https://www.marmiton.org/recettes/recette_sapin-de-noel-au-nutella_349084.aspx,Sapin de Noël au Nutella®,,,,,5.0,"['Dessert', 'Végétarien']",2.0,2.3k,7.0,40 min,12.0,très facile,bon marché,"[['https://assets.afcdn.com/recipe/20170607/67348_w180h180c1cx258cy258.jpg', '2', 'pâtes feuilletées', ' '], ['https://assets.afcdn.com/recipe/20170607/67365_w180h180c1cx350cy350.jpg', '4', 'pommes', ' '], ['https://assets.afcdn.com/recipe/20170607/67457_w180h180c1cx350cy350.jpg', '1/2', 'citron', ' '], ['https://assets.afcdn.com/recipe/20201201/115998_w180h180c1cx912cy821.jpg', '20', 'g de beurre', ' '], ['https://assets.afcdn.com/recipe/20170607/67691_w180h180c1cx350cy350.jpg', '80', 'g de sucre', ' '], ['https://assets.afcdn.com/recipe/20170607/67747_w180h180c1cx350cy350.jpg', '5', 'g de cannelle', ' '], ['https://assets.afcdn.com/recipe/20170607/67505_w180h180c1cx350cy350.jpg', '1', 'oeuf', ' pour la dorure'], ['https://assets.afcdn.com/recipe/20200923/114271_w180h180c1cx1250cy1250.png', '180', 'g de Nutella®', ' ']]",40 min,40 min,"['Préchauffez votre four à 180°C (thermostat 6). \nPelez et coupez les pommes en petits cubes.\nGardez les pommes dans un bol avec le jus du citron.', 'Faites fondre le beurre dans une poêle à feu moyen, puis ajoutez les pommes.', 'Ajoutez le sucre et la cannelle et laissez cuire 10 minutes en remuant de temps en temps.', 'Laissez refroidir pendant 10 minutes.', ""Ecrasez les pommes à l'aide d'une cuillère, pour obtenir la consistance d’une compote."", ""Etalez la compote de pommes\nsur le premier rouleau de pâte feuilletée, en laissant un bord d'1 cm pour souder."", 'Couvrez avec la deuxième pâte feuilletée.\nÀ l’aide d’un couteau, découpez la pâte de façon à former un sapin. \nDécoupez ensuite des bandes de pâte sur les deux côtés pour obtenir les branches.\nEnroulez délicatement chaque lamelle afin de les torsader.', 'Enroulez délicatement chaque lamelle afin de les torsader.\nÀ l’aide d’un pinceau à pâtisserie, badigeonnez l’ensemble du sapin avec l’oeuf battu.', 'Enfournez le sapin pour 25 minutes de cuisson.', 'À l’aide d’une poche à douille, ajoutez 15g de Nutella sur chaque branche.']",https://assets.afcdn.com/recipe/20171117/75247_w512h384c1cx4344cy2896.jpg
7,7,https://www.marmiton.org/recettes/recette_salade-d-oranges-du-maroc_21593.aspx,Salade d'oranges du Maroc,a,https://static.afcdn.com/relmrtn/Front/Component/nutriscore/assets/nutriscore_a.jpeg,c,https://static.afcdn.com/relmrtn/Front/Component/nutriscore/assets/ecoscore_c.png,4.7,"['Dessert', 'Végétarien', 'Sans gluten', 'Rapide', 'Recettes du Ramadan']",23.0,4.3k,5.0,15 min,4.0,très facile,bon marché,"[['https://assets.afcdn.com/recipe/20170607/67729_w180h180c1cx350cy350.jpg', '4', 'oranges', ' '], ['https://assets.afcdn.com/recipe/20170607/67666_w180h180c1cx1700cy1320.jpg', '1/2', 'sachet de pruneau', ' '], ['https://assets.afcdn.com/recipe/20170621/69026_w180h180c1.jpg', '', ""Eau de fleur d'oranger"", ' '], ['https://assets.afcdn.com/recipe/20170607/67684_w180h180c1cx350cy350.jpg', '', 'Amandes', ' effilées ou concassées']]",15 min,,"[""Dans un saladier, couper les pruneaux en 4, verser 2 cuillères à soupe d'eau de fleur d'oranger."", 'Laisser tremper la préparation 10 min.', 'Pendant ce temps, couper les oranges en rondelles et concasser les amandes. Mettre le tout dans le saladier et mélanger délicatement.', 'Déguster frais ou à température ambiante, selon votre préférence (et la saison)...']",https://assets.afcdn.com/recipe/20140814/61613_w512h384c1cx900cy1350.jpg
8,8,https://www.marmiton.org/recettes/recette_salade-de-fruits-de-saint-nicolas_20084.aspx,Salade de fruits de Saint-Nicolas,a,https://static.afcdn.com/relmrtn/Front/Component/nutriscore/assets/nutriscore_a.jpeg,c,https://static.afcdn.com/relmrtn/Front/Component/nutriscore/assets/ecoscore_c.png,4.5,"['Dessert', 'Végétarien', 'Sans gluten', 'Rapide', 'Noël / Rois mages']",15.0,1.2k,9.0,15 min,4.0,très facile,bon marché,"[['https://assets.afcdn.com/recipe/20170607/67730_w180h180c1cx350cy350.jpg', '8', 'dattes', ' '], ['https://assets.afcdn.com/recipe/20170607/67641_w180h180c1cx350cy350.jpg', '4', 'figues', ' '], ['https://assets.afcdn.com/recipe/20170607/67729_w180h180c1cx350cy350.jpg', '4', 'oranges', ' '], ['https://assets.afcdn.com/recipe/20170621/69080_w180h180c1.jpg', '1', ""dl de jus d'orange"", ' fraîchement pressé'], ['https://assets.afcdn.com/recipe/20170607/67597_w180h180c1cx350cy350.jpg', '2', 'cuillères à soupe de miel', ' '], ['https://assets.afcdn.com/recipe/20170607/67747_w180h180c1cx350cy350.jpg', '', 'Cannelle', ' '], ['https://assets.afcdn.com/recipe/20170607/67585_w180h180c1cx1335cy864.jpg', '', 'Clou de girofle', ' '], ['https://assets.afcdn.com/recipe/20170623/69218_w180h180c1.jpg', '', 'Arachide', ' ']]",15 min,,"['Dénoyauter les dattes et les couper en quatre dans le sens de la longueur.', 'Tailler les figues en lanières. Eplucher les oranges, puis retirer les filaments blancs entourant le fruit. Séparer les oranges en deux moitiés et les détailler en tranches fines.', ""Réchauffer le jus d'orange et le miel dans une casserole, à petit feu en remuant constamment jusqu'à ce que le tout soit bien lié."", 'Epicer ce jus avec la cannelle et la poudre de clous de girofle, puis verser sur les fruits.', 'Eplucher les cacahuètes, les faire dorer sans adjonction de matière grasse dans une poêle et en parsemer la salade de fruits.', ""A préparer un jour à l'avance ou le jour même.""]",https://assets.afcdn.com/recipe/20130122/41993_w79h79c1.jpg
9,9,https://www.marmiton.org/recettes/recette_verrines-de-lentilles-au-foie-gras_65927.aspx,Verrines de lentilles au foie gras,d,https://static.afcdn.com/relmrtn/Front/Component/nutriscore/assets/nutriscore_d.jpeg,c,https://static.afcdn.com/relmrtn/Front/Component/nutriscore/assets/ecoscore_c.png,4.0,"['Entrée', 'Sans gluten', 'Abats', 'Viande', 'Foie']",23.0,8.5k,36.0,30 min,4.0,très facile,Coût moyen,"[['https://assets.afcdn.com/recipe/20170607/67625_w180h180c1cx2136cy1424.jpg', '120', 'g de lentilles', ' '], ['https://assets.afcdn.com/recipe/20190308/88958_w180h180c1cx150cy150.jpg', '', 'Eau', ' '], ['https://assets.afcdn.com/recipe/20170607/67407_w180h180c1cx350cy350.jpg', '1', 'bouquet garni', ' (persil, laurier, thym)'], ['https://assets.afcdn.com/recipe/20170607/67402_w180h180c1cx3008cy2000.jpg', '1', 'échalote', ' (ou oignon)'], ['https://assets.afcdn.com/recipe/20170607/67585_w180h180c1cx1335cy864.jpg', '1', 'clou de girofle', ' '], ['https://assets.afcdn.com/recipe/20170607/67393_w180h180c1cx350cy350.jpg', '1', 'petit morceau de poitrine fumée', ' '], ['https://assets.afcdn.com/recipe/20170607/67563_w180h180c1cx350cy350.jpg', '', 'Poivre', ' '], ['https://assets.afcdn.com/recipe/20170607/67687_w180h180c1cx350cy350.jpg', '', 'Sel', ' '], ['https://assets.afcdn.com/recipe/20170621/69006_w180h180c1.jpg', '', 'Feuilles de coriandre', ' '], ['https://assets.afcdn.com/recipe/20170607/67410_w180h180c1cx350cy350.jpg', '', 'Foie gras', ' ']]",30 min,10 min,"[""Cuire d'abord les lentilles, avec tous les ingrédients (sauf le foie gras) 10 min en autocuiseur."", ""Enlever le bouquet garni, l'oignon et la poitrine fumée."", 'Garder du jus de cuisson des lentilles.', ""Mixer les lentilles en y ajoutant du jus de cuisson jusqu'à obtention d'une texture crémeuse."", ""Ensuite dresser les verrines (rectifier l'assaisonnement si nécessaire). On peut choisir mixer."", ""Prendre de jolies verrines et mettre d'abord les lentilles."", 'Couper le foie gras en petits cubes et les disposer sur les lentilles.', 'Décorer avec les feuilles de coriandre.', ""C'était mon entrée du réveillon du 31."", 'Un effet garanti et joliment bon!', 'Approuvé par tous.']",https://assets.afcdn.com/recipe/20131118/24853_w512h384c1cx1250cy1875.jpg
